[2025-05-29 14:43:50,794] 16 root - INFO - Initiate the data ingestion
[2025-05-29 14:44:05,312] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 14:44:05,312] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 14:44:05,313] 74 root - INFO - Exporting train and test file path
[2025-05-29 14:44:05,486] 83 root - INFO - Exported train and test file path.
[2025-05-29 14:44:05,487] 18 root - INFO - Data Initiation Completed
[2025-05-29 14:44:05,492] 22 root - INFO - Initiate the data validation
[2025-05-29 14:44:05,539] 31 root - INFO - Required number of columns:2
[2025-05-29 14:44:05,553] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:44:05,553] 31 root - INFO - Required number of columns:2
[2025-05-29 14:44:05,553] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:44:05,857] 31 root - INFO - Required number of columns:2
[2025-05-29 14:44:05,857] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:44:05,857] 31 root - INFO - Required number of columns:2
[2025-05-29 14:44:05,857] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:44:06,114] 26 root - INFO - Data Validation Completed
[2025-05-29 14:44:06,114] 29 root - INFO - Data Transformation started
[2025-05-29 14:44:06,114] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 14:44:06,114] 65 root - INFO - Starting data transformation
[2025-05-29 14:44:06,156] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-05-29 14:44:06,156] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-29 14:44:06,172] 43 root - INFO - Entered the save_object method od MainUtils class
[2025-05-29 14:44:06,177] 47 root - INFO - Excited the save_object method of MainUtils class
[2025-05-29 14:44:06,178] 33 root - INFO - Data Transformation completed
