[2025-05-29 16:37:25,749] 16 root - INFO - Initiate the data ingestion
[2025-05-29 16:38:13,644] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 16:38:13,644] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 16:38:13,644] 74 root - INFO - Exporting train and test file path
[2025-05-29 16:38:13,845] 83 root - INFO - Exported train and test file path.
[2025-05-29 16:38:13,845] 18 root - INFO - Data Initiation Completed
[2025-05-29 16:38:13,850] 22 root - INFO - Initiate the data validation
[2025-05-29 16:38:13,928] 31 root - INFO - Required number of columns:2
[2025-05-29 16:38:13,930] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:38:13,930] 31 root - INFO - Required number of columns:2
[2025-05-29 16:38:13,930] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:38:14,251] 31 root - INFO - Required number of columns:2
[2025-05-29 16:38:14,251] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:38:14,251] 31 root - INFO - Required number of columns:2
[2025-05-29 16:38:14,251] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:38:14,527] 26 root - INFO - Data Validation Completed
[2025-05-29 16:38:14,527] 29 root - INFO - Data Transformation started
[2025-05-29 16:38:14,527] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 16:38:14,527] 65 root - INFO - Starting data transformation
[2025-05-29 16:38:14,578] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-05-29 16:38:14,579] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-29 16:38:14,598] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-29 16:38:14,602] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-29 16:38:14,604] 33 root - INFO - Data Transformation completed
