[2025-05-29 16:51:15,758] 17 root - INFO - Initiate the data ingestion
[2025-05-29 16:51:30,203] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 16:51:30,203] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 16:51:30,204] 74 root - INFO - Exporting train and test file path
[2025-05-29 16:51:30,387] 83 root - INFO - Exported train and test file path.
[2025-05-29 16:51:30,387] 19 root - INFO - Data Initiation Completed
[2025-05-29 16:51:30,392] 23 root - INFO - Initiate the data validation
[2025-05-29 16:51:30,444] 31 root - INFO - Required number of columns:2
[2025-05-29 16:51:30,444] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:51:30,444] 31 root - INFO - Required number of columns:2
[2025-05-29 16:51:30,444] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:51:30,744] 31 root - INFO - Required number of columns:2
[2025-05-29 16:51:30,744] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:51:30,744] 31 root - INFO - Required number of columns:2
[2025-05-29 16:51:30,744] 32 root - INFO - Data frame has columns: 50
[2025-05-29 16:51:31,001] 27 root - INFO - Data Validation Completed
[2025-05-29 16:51:31,001] 30 root - INFO - Data Transformation started
[2025-05-29 16:51:31,001] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 16:51:31,001] 65 root - INFO - Starting data transformation
[2025-05-29 16:51:31,046] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-05-29 16:51:31,047] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-29 16:51:31,066] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-29 16:51:31,071] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-29 16:51:31,072] 34 root - INFO - Data Transformation completed
[2025-05-29 16:51:31,072] 36 root - INFO - Model Training started
